load_pct,mem_pct,cxl_pct,num_instrs,warm_cache_insts,main_loop_loads,main_loop_stores,host_to_switch_bpc,switch_to_host_bpc,host_link_total_bpc,host_to_switch_gbps,switch_to_host_gbps,host_link_total_gbps,total_gbps
10,10,100,4000000,200000,382,3326,0.255293,0.249802,0.505095,0.612702,0.599525,1.21223,1.21223
10,20,100,4000000,200000,748,6573,0.504463,0.493204,0.997667,1.21071,1.18369,2.3944,2.3944
10,30,100,4000000,200000,1121,9907,0.760286,0.742939,1.50323,1.82469,1.78305,3.60774,3.60774
10,40,100,4000000,200000,1500,13270,1.01836,0.995032,2.01339,2.44406,2.38808,4.83213,4.83213
10,50,100,4000000,200000,1855,16536,1.26888,1.23897,2.50785,3.0453,2.97353,6.01884,6.01884
10,60,100,4000000,200000,2231,19779,1.51783,1.48278,3.00061,3.64279,3.55867,7.20146,7.20146
10,70,100,4000000,200000,2589,23141,1.77565,1.73339,3.50904,4.26155,4.16013,8.42169,8.42169
10,80,100,4000000,200000,2952,26450,2.02949,1.98077,4.01026,4.87078,4.75384,9.62462,9.62462
10,90,100,4000000,200000,3301,29712,2.27965,2.22403,4.50369,5.47117,5.33768,10.8089,10.8089
10,100,100,4000000,200000,3668,32992,2.53133,2.46973,5.00106,6.0752,5.92734,12.0025,12.0025
20,10,100,4000000,200000,798,3125,0.243562,0.264286,0.507848,0.584549,0.634287,1.21884,1.21884
20,20,100,4000000,200000,1524,6192,0.482122,0.519815,1.00194,1.15709,1.24756,2.40465,2.40465
20,30,100,4000000,200000,2325,9290,0.723663,0.782484,1.50615,1.73679,1.87796,3.61475,3.61475
20,40,100,4000000,200000,3098,12449,0.969592,1.04738,2.01697,2.32702,2.5137,4.84072,4.84072
20,50,100,4000000,200000,3889,15477,1.20574,1.30466,2.5104,2.89378,3.13118,6.02496,6.02496
20,60,100,4000000,200000,4689,18488,1.44068,1.5614,3.00208,3.45764,3.74735,7.20499,7.20499
20,70,100,4000000,200000,5447,21646,1.68641,1.82521,3.51162,4.04738,4.38051,8.42789,8.42789
20,80,100,4000000,200000,6226,24677,1.92269,2.08189,4.00457,4.61445,4.99653,9.61097,9.61097
20,90,100,4000000,200000,6998,27687,2.15731,2.33667,4.49399,5.17755,5.60802,10.7856,10.7856
20,100,100,4000000,200000,7804,30815,2.40117,2.6017,5.00287,5.76281,6.24408,12.0069,12.0069
30,10,100,4000000,200000,1239,2892,0.229617,0.278299,0.507916,0.55108,0.667917,1.219,1.219
30,20,100,4000000,200000,2408,5731,0.454627,0.548312,1.00294,1.09111,1.31595,2.40705,2.40705
30,30,100,4000000,200000,3645,8606,0.682939,0.825331,1.50827,1.63905,1.98079,3.61985,3.61985
30,40,100,4000000,200000,4934,11419,0.906989,1.10168,2.00867,2.17677,2.64402,4.8208,4.8208
30,50,100,4000000,200000,6144,14254,1.13204,1.37418,2.50622,2.7169,3.29803,6.01494,6.01494
30,60,100,4000000,200000,7371,17054,1.35459,1.64547,3.00006,3.251,3.94914,7.20014,7.20014
30,70,100,4000000,200000,8573,19922,1.58207,1.91966,3.50173,3.79697,4.60719,8.40416,8.40416
30,80,100,4000000,200000,9810,22763,1.80781,2.19439,4.0022,4.33874,5.26654,9.60527,9.60527
30,90,100,4000000,200000,11043,25566,2.03063,2.46629,4.49692,4.87351,5.9191,10.7926,10.7926
30,100,100,4000000,200000,12245,28471,2.26092,2.74297,5.00389,5.4262,6.58313,12.0093,12.0093
40,10,100,4000000,200000,1777,2595,0.211638,0.294535,0.506173,0.507931,0.706883,1.21481,1.21481
40,20,100,4000000,200000,3412,5176,0.421019,0.57856,0.999579,1.01045,1.38854,2.39899,2.39899
40,30,100,4000000,200000,5194,7730,0.629592,0.870669,1.50026,1.51102,2.08961,3.60063,3.60063
40,40,100,4000000,200000,6964,10323,0.841019,1.1646,2.00562,2.01845,2.79503,4.81348,4.81348
40,50,100,4000000,200000,8660,12888,1.0497,1.45165,2.50136,2.51928,3.48397,6.00325,6.00325
40,60,100,4000000,200000,10423,15496,1.26221,1.74612,3.00833,3.0293,4.19069,7.21999,7.21999
40,70,100,4000000,200000,12133,18045,1.46979,2.03304,3.50284,3.5275,4.87931,8.40681,8.40681
40,80,100,4000000,200000,13819,20602,1.67779,2.31889,3.99667,4.02668,5.56533,9.59202,9.59202
40,90,100,4000000,200000,15613,23187,1.88881,2.61389,4.5027,4.53314,6.27335,10.8065,10.8065
40,100,100,4000000,200000,17296,25744,2.09677,2.89954,4.99631,5.03226,6.95889,11.9911,11.9911
50,10,100,4000000,200000,2345,2300,0.194063,0.312926,0.506989,0.465752,0.751023,1.21677,1.21677
50,20,100,4000000,200000,4528,4575,0.384867,0.613255,0.998122,0.923682,1.47181,2.39549,2.39549
50,30,100,4000000,200000,6919,6873,0.579166,0.929145,1.50831,1.39,2.22995,3.61995,3.61995
50,40,100,4000000,200000,9176,9145,0.770366,1.23426,2.00462,1.84888,2.96222,4.8111,4.8111
50,50,100,4000000,200000,11446,11435,0.96304,1.54146,2.5045,2.3113,3.6995,6.01079,6.01079
50,60,100,4000000,200000,13744,13745,1.15747,1.85189,3.00936,2.77792,4.44454,7.22245,7.22245
50,70,100,4000000,200000,16075,15964,1.34527,2.15842,3.50369,3.22865,5.1802,8.40885,8.40885
50,80,100,4000000,200000,18325,18198,1.53353,2.4605,3.99403,3.68048,5.90519,9.58567,9.58567
50,90,100,4000000,200000,20622,20495,1.72696,2.76999,4.49695,4.14471,6.64797,10.7927,10.7927
50,100,100,4000000,200000,22937,22813,1.92214,3.08211,5.00424,4.61313,7.39705,12.0102,12.0102
60,10,100,4000000,200000,2938,1970,0.174046,0.330644,0.504691,0.417711,0.793546,1.21126,1.21126
60,20,100,4000000,200000,5840,3865,0.342105,0.653811,0.995916,0.821053,1.56915,2.3902,2.3902
60,30,100,4000000,200000,8860,5843,0.517448,0.990518,1.50797,1.24188,2.37724,3.61912,3.61912
60,40,100,4000000,200000,11758,7805,0.690552,1.31793,2.00848,1.65732,3.16303,4.82035,4.82035
60,50,100,4000000,200000,14650,9709,0.859208,1.64103,2.50024,2.0621,3.93847,6.00057,6.00057
60,60,100,4000000,200000,17593,11681,1.03345,1.97214,3.00559,2.48028,4.73314,7.21342,7.21342
60,70,100,4000000,200000,20475,13611,1.20399,2.29632,3.50031,2.88958,5.51117,8.40075,8.40075
60,80,100,4000000,200000,23442,15567,1.37722,2.62797,4.0052,3.30533,6.30714,9.61247,9.61247
60,90,100,4000000,200000,26330,17473,1.546,2.95094,4.49693,3.71039,7.08225,10.7926,10.7926
60,100,100,4000000,200000,29380,19461,1.72235,3.29034,5.01269,4.13364,7.89682,12.0305,12.0305
70,10,100,4000000,200000,3649,1586,0.150931,0.352674,0.503604,0.362233,0.846417,1.20865,1.20865
70,20,100,4000000,200000,7269,3160,0.300707,0.702585,1.00329,0.721698,1.6862,2.4079,2.4079
70,30,100,4000000,200000,11011,4719,0.450375,1.05971,1.51008,1.0809,2.54329,3.62419,3.62419
70,40,100,4000000,200000,14610,6272,0.598383,1.40679,2.00517,1.43612,3.37629,4.81241,4.81241
70,50,100,4000000,200000,18293,7849,0.748918,1.76115,2.51006,1.7974,4.22675,6.02415,6.02415
70,60,100,4000000,200000,21954,9353,0.893735,2.1091,3.00284,2.14496,5.06185,7.20681,7.20681
70,70,100,4000000,200000,25530,10925,1.04299,2.45592,3.49891,2.50317,5.8942,8.39737,8.39737
70,80,100,4000000,200000,29162,12533,1.19544,2.80893,4.00437,2.86907,6.74142,9.61049,9.61049
70,90,100,4000000,200000,32877,14097,1.34526,3.16456,4.50983,3.22863,7.59495,10.8236,10.8236
70,100,100,4000000,200000,36607,15628,1.49271,3.51899,5.0117,3.5825,8.44557,12.0281,12.0281
80,10,100,4000000,200000,4505,1121,0.122897,0.379015,0.501912,0.294952,0.909635,1.20459,1.20459
80,20,100,4000000,200000,8973,2270,0.247604,0.757423,1.00503,0.59425,1.81782,2.41207,2.41207
80,30,100,4000000,200000,13506,3387,0.370434,1.13805,1.50849,0.889041,2.73133,3.62037,3.62037
80,40,100,4000000,200000,17975,4476,0.490602,1.51249,2.00309,1.17745,3.62997,4.80742,4.80742
80,50,100,4000000,200000,22474,5601,0.613752,1.89137,2.50512,1.473,4.53928,6.01229,6.01229
80,60,100,4000000,200000,26934,6687,0.733617,2.26499,2.99861,1.76068,5.43598,7.19667,7.19667
80,70,100,4000000,200000,31465,7841,0.859234,2.64798,3.50722,2.06216,6.35516,8.41732,8.41732
80,80,100,4000000,200000,35868,8966,0.981575,3.0204,4.00197,2.35578,7.24895,9.60473,9.60473
80,90,100,4000000,200000,40517,10095,1.10629,3.40965,4.51594,2.6551,8.18316,10.8383,10.8383
80,100,100,4000000,200000,44974,11220,1.22909,3.7857,5.01479,2.94981,9.08568,12.0355,12.0355
90,10,100,4000000,200000,5431,639,0.0941642,0.408926,0.503091,0.225994,0.981423,1.20742,1.20742
90,20,100,4000000,200000,10931,1242,0.186181,0.820076,1.00626,0.446835,1.96818,2.41502,2.41502
90,30,100,4000000,200000,16362,1858,0.278602,1.22745,1.50605,0.668645,2.94589,3.61453,3.61453
90,40,100,4000000,200000,21868,2399,0.365971,1.63483,2.0008,0.878329,3.92359,4.80192,4.80192
90,50,100,4000000,200000,27382,2995,0.457575,2.04645,2.50403,1.09818,4.91148,6.00966,6.00966
90,60,100,4000000,200000,32727,3616,0.549651,2.44837,2.99802,1.31916,5.87609,7.19525,7.19525
90,70,100,4000000,200000,38193,4220,0.641457,2.8573,3.49875,1.5395,6.85751,8.39701,8.39701
90,80,100,4000000,200000,43816,4840,0.735798,3.27788,4.01368,1.76591,7.86691,9.63282,9.63282
90,90,100,4000000,200000,49259,5450,0.827865,3.68566,4.51352,1.98688,8.84558,10.8325,10.8325
90,100,100,4000000,200000,54597,6045,0.917912,4.08536,5.00327,2.20299,9.80485,12.0078,12.0078
100,10,100,4000000,200000,6571,0,0.0553347,0.442678,0.498013,0.132803,1.06243,1.19523,1.19523
100,20,100,4000000,200000,13222,0,0.111343,0.890745,1.00209,0.267224,2.13779,2.40501,2.40501
100,30,100,4000000,200000,19891,0,0.167503,1.34003,1.50753,0.402008,3.21606,3.61807,3.61807
100,40,100,4000000,200000,26490,0,0.223074,1.78459,2.00766,0.535377,4.28301,4.81839,4.81839
100,50,100,4000000,200000,33013,0,0.278004,2.22403,2.50204,0.66721,5.33768,6.00489,6.00489
100,60,100,4000000,200000,39698,0,0.334299,2.67439,3.00869,0.802317,6.41854,7.22086,7.22086
100,70,100,4000000,200000,46229,0,0.389297,3.11437,3.50367,0.934312,7.4745,8.40881,8.40881
100,80,100,4000000,200000,52968,0,0.446046,3.56837,4.01442,1.07051,8.56409,9.6346,9.6346
100,90,100,4000000,200000,59464,0,0.500749,4.006,4.50675,1.2018,9.61439,10.8162,10.8162
100,100,100,4000000,200000,66007,0,0.555848,4.44679,5.00264,1.33404,10.6723,12.0063,12.0063
