load_pct,mem_pct,cxl_pct,num_instrs,warm_cache_insts,main_loop_loads,main_loop_stores,host_to_switch_bpc,switch_to_host_bpc,host_link_total_bpc,host_to_switch_gbps,switch_to_host_gbps,host_link_total_gbps,total_gbps
0,10,100,4000000,200000,0,28011,0.265367,0.235882,0.501249,0.636882,0.566117,1.203,1.203
0,20,100,4000000,200000,0,56074,0.531227,0.472202,1.00343,1.27495,1.13329,2.40823,2.40823
0,30,100,4000000,200000,0,84076,0.796509,0.708008,1.50452,1.91162,1.69922,3.61084,3.61084
0,40,100,4000000,200000,0,112162,1.06259,0.944522,2.00711,2.55021,2.26685,4.81706,4.81706
0,50,100,4000000,200000,0,140108,1.32734,1.17986,2.5072,3.18561,2.83166,6.01727,6.01727
0,60,100,4000000,200000,0,168078,1.59232,1.41539,3.00771,3.82156,3.39694,7.21851,7.21851
0,70,100,4000000,200000,0,196148,1.85824,1.65177,3.51002,4.45979,3.96425,8.42404,8.42404
0,80,100,4000000,200000,0,224396,2.12586,1.88965,4.01551,5.10206,4.53516,9.63722,9.63722
0,90,100,4000000,200000,0,252662,2.39364,2.12768,4.52132,5.74474,5.10643,10.8512,10.8512
0,100,100,4000000,200000,0,280531,2.65766,2.36237,5.02003,6.37839,5.66968,12.0481,12.0481
10,10,100,4000000,200000,2952,26450,0.253686,0.247596,0.501282,0.608847,0.59423,1.20308,1.20308
10,20,100,4000000,200000,5877,52885,0.507202,0.494838,1.00204,1.21729,1.18761,2.4049,2.4049
10,30,100,4000000,200000,8752,79426,0.761669,0.742552,1.50422,1.82801,1.78212,3.61013,3.61013
10,40,100,4000000,200000,11741,106118,1.01769,0.992497,2.01018,2.44245,2.38199,4.82444,4.82444
10,50,100,4000000,200000,14626,132344,1.26918,1.23764,2.50682,3.04603,2.97034,6.01638,6.01638
10,60,100,4000000,200000,17567,158849,1.52338,1.48561,3.00899,3.6561,3.56546,7.22156,7.22156
10,70,100,4000000,200000,20534,185393,1.77797,1.73412,3.51209,4.26713,4.16189,8.42902,8.42902
10,80,100,4000000,200000,23400,212273,2.03564,1.98461,4.02025,4.88553,4.76308,9.64861,9.64861
10,90,100,4000000,200000,26302,238782,2.28983,2.23229,4.52212,5.4956,5.35749,10.8531,10.8531
10,100,100,4000000,200000,29157,265298,2.54404,2.47962,5.02366,6.1057,5.95109,12.0568,12.0568
20,10,100,4000000,200000,6226,24677,0.240336,0.260236,0.500572,0.576806,0.624566,1.20137,1.20137
20,20,100,4000000,200000,12388,49346,0.480528,0.519865,1.00039,1.15327,1.24768,2.40094,2.40094
20,30,100,4000000,200000,18611,74195,0.722491,0.781524,1.50401,1.73398,1.87566,3.60964,3.60964
20,40,100,4000000,200000,24873,98981,0.963897,1.04298,2.00688,2.31335,2.50315,4.81651,4.81651
20,50,100,4000000,200000,31044,123645,1.20405,1.30264,2.5067,2.88972,3.12635,6.01607,6.01607
20,60,100,4000000,200000,37215,148289,1.44402,1.56214,3.00616,3.46564,3.74913,7.21477,7.21477
