config,replicas,num_nodes,load_pct,requested_request_gbps_per_node,weighted_avg_load_lat_cycles,request_gbps,response_gbps,aggregate_bw_gbps,switch_replicated_messages,log_path
no_rep,1,1,80,1.5,735.383,1.49993,4.00009,5.50001,0.0,/nethome/kshan9/scratch/src/sst-elements/src/sst/elements/cscore_sstelem/experiments/replica_count/logs/run_nodes001_replica001_no_rep.out
rep,2,1,80,1.5,734.945,1.50009,3.99996,5.50005,6430.0,/nethome/kshan9/scratch/src/sst-elements/src/sst/elements/cscore_sstelem/experiments/replica_count/logs/run_nodes001_replica002_rep.out
rep,4,1,80,1.5,735.022,1.49999,3.99996,5.49995,12860.0,/nethome/kshan9/scratch/src/sst-elements/src/sst/elements/cscore_sstelem/experiments/replica_count/logs/run_nodes001_replica004_rep.out
rep,8,1,80,1.5,735.383,1.49993,4.00009,5.50001,25728.0,/nethome/kshan9/scratch/src/sst-elements/src/sst/elements/cscore_sstelem/experiments/replica_count/logs/run_nodes001_replica008_rep.out
rep,16,1,80,1.5,735.383,1.49993,4.00009,5.50001,51456.0,/nethome/kshan9/scratch/src/sst-elements/src/sst/elements/cscore_sstelem/experiments/replica_count/logs/run_nodes001_replica016_rep.out
no_rep,1,2,80,1.5,738.1735,3.00022,8.000319999999999,11.00054,0.0,/nethome/kshan9/scratch/src/sst-elements/src/sst/elements/cscore_sstelem/experiments/replica_count/logs/run_nodes002_replica001_no_rep.out
rep,2,2,80,1.5,735.6365,2.99992,7.99952,10.99943,12876.0,/nethome/kshan9/scratch/src/sst-elements/src/sst/elements/cscore_sstelem/experiments/replica_count/logs/run_nodes002_replica002_rep.out
rep,4,2,80,1.5,735.3915000000001,3.00024,7.99966,10.9999,25736.0,/nethome/kshan9/scratch/src/sst-elements/src/sst/elements/cscore_sstelem/experiments/replica_count/logs/run_nodes002_replica004_rep.out
rep,8,2,80,1.5,735.5975,3.00008,7.99993,11.0,51488.0,/nethome/kshan9/scratch/src/sst-elements/src/sst/elements/cscore_sstelem/experiments/replica_count/logs/run_nodes002_replica008_rep.out
rep,16,2,80,1.5,735.6564999999999,2.99994,7.99971,10.99964,102976.0,/nethome/kshan9/scratch/src/sst-elements/src/sst/elements/cscore_sstelem/experiments/replica_count/logs/run_nodes002_replica016_rep.out
no_rep,1,4,80,1.5,751.56475,5.99935,16.00005,21.999409999999997,0.0,/nethome/kshan9/scratch/src/sst-elements/src/sst/elements/cscore_sstelem/experiments/replica_count/logs/run_nodes004_replica001_no_rep.out
rep,2,4,80,1.5,740.9295,5.9999,16.00002,21.99993,25960.0,/nethome/kshan9/scratch/src/sst-elements/src/sst/elements/cscore_sstelem/experiments/replica_count/logs/run_nodes004_replica002_rep.out
rep,4,4,80,1.5,739.293,6.00047,15.999870000000001,22.000320000000002,51776.0,/nethome/kshan9/scratch/src/sst-elements/src/sst/elements/cscore_sstelem/experiments/replica_count/logs/run_nodes004_replica004_rep.out
rep,8,4,80,1.5,739.1315000000001,6.00096,16.00009,22.00105,103520.0,/nethome/kshan9/scratch/src/sst-elements/src/sst/elements/cscore_sstelem/experiments/replica_count/logs/run_nodes004_replica008_rep.out
rep,16,4,80,1.5,739.16125,6.000769999999999,15.999860000000002,22.00063,207104.0,/nethome/kshan9/scratch/src/sst-elements/src/sst/elements/cscore_sstelem/experiments/replica_count/logs/run_nodes004_replica016_rep.out
no_rep,1,8,80,1.5,840.4241249999999,11.999680000000001,31.999629999999996,43.99932,0.0,/nethome/kshan9/scratch/src/sst-elements/src/sst/elements/cscore_sstelem/experiments/replica_count/logs/run_nodes008_replica001_no_rep.out
rep,2,8,80,1.5,770.632,12.00069,32.00103,44.00172,53888.0,/nethome/kshan9/scratch/src/sst-elements/src/sst/elements/cscore_sstelem/experiments/replica_count/logs/run_nodes008_replica002_rep.out
rep,4,8,80,1.5,754.72425,12.00078,32.00018,44.00098,106144.0,/nethome/kshan9/scratch/src/sst-elements/src/sst/elements/cscore_sstelem/experiments/replica_count/logs/run_nodes008_replica004_rep.out
rep,8,8,80,1.5,750.1813750000001,12.000699999999998,31.999969999999998,44.00066,210624.0,/nethome/kshan9/scratch/src/sst-elements/src/sst/elements/cscore_sstelem/experiments/replica_count/logs/run_nodes008_replica008_rep.out
rep,16,8,80,1.5,749.297375,12.00042,32.000530000000005,44.00093,420480.0,/nethome/kshan9/scratch/src/sst-elements/src/sst/elements/cscore_sstelem/experiments/replica_count/logs/run_nodes008_replica016_rep.out
no_rep,1,16,80,1.5,19419.65,18.04976,48.13331,66.18307000000001,0.0,/nethome/kshan9/scratch/src/sst-elements/src/sst/elements/cscore_sstelem/experiments/replica_count/logs/run_nodes016_replica001_no_rep.out
rep,2,16,80,1.5,1002.1318749999998,23.99777,63.99955,87.99732,140192.0,/nethome/kshan9/scratch/src/sst-elements/src/sst/elements/cscore_sstelem/experiments/replica_count/logs/run_nodes016_replica002_rep.out
rep,4,16,80,1.5,876.34275,24.001270000000005,63.9993,88.00059,246784.0,/nethome/kshan9/scratch/src/sst-elements/src/sst/elements/cscore_sstelem/experiments/replica_count/logs/run_nodes016_replica004_rep.out
rep,8,16,80,1.5,821.2648750000001,24.00182,64.00025,88.00201999999997,466560.0,/nethome/kshan9/scratch/src/sst-elements/src/sst/elements/cscore_sstelem/experiments/replica_count/logs/run_nodes016_replica008_rep.out
rep,16,16,80,1.5,819.475,24.0012,63.99999,88.00112,935936.0,/nethome/kshan9/scratch/src/sst-elements/src/sst/elements/cscore_sstelem/experiments/replica_count/logs/run_nodes016_replica016_rep.out
