replicas,load_pct,aggregate_bw_gbps,latency_cycles,requested_request_gbps_per_node,request_gbps,response_gbps,label,log_path
1,0,2.40178,804.6957500000002,0.3,2.40178,0.0,base,/Users/kevinshan/Documents/gt_classes/research/sst/cscore_sstelem/experiments/replica_count/logs/run_replica001_load000_base_bw00p30.out
1,0,24.576340000000002,855.356625,3.07,24.576340000000002,0.0,left,/Users/kevinshan/Documents/gt_classes/research/sst/cscore_sstelem/experiments/replica_count/logs/run_replica001_load000_left_bw03p07.out
1,0,40.55096,869.5459999999999,5.07,40.55096,0.0,iter00,/Users/kevinshan/Documents/gt_classes/research/sst/cscore_sstelem/experiments/replica_count/logs/run_replica001_load000_iter00_bw05p07.out
1,0,44.544869999999996,890.4316249999999,5.57,44.544869999999996,0.0,iter01,/Users/kevinshan/Documents/gt_classes/research/sst/cscore_sstelem/experiments/replica_count/logs/run_replica001_load000_iter01_bw05p57.out
1,0,46.8372,965.94,5.85,46.8372,0.0,iter05,/Users/kevinshan/Documents/gt_classes/research/sst/cscore_sstelem/experiments/replica_count/logs/run_replica001_load000_iter05_bw05p85.out
1,0,47.5392,951.661,5.94,47.5392,0.0,iter02,/Users/kevinshan/Documents/gt_classes/research/sst/cscore_sstelem/experiments/replica_count/logs/run_replica001_load000_iter02_bw05p94.out
1,0,47.5628,951.1880000000001,5.95,47.5628,0.0,iter09,/Users/kevinshan/Documents/gt_classes/research/sst/cscore_sstelem/experiments/replica_count/logs/run_replica001_load000_iter09_bw05p95.out
1,0,47.78456,946.7719999999999,5.97,47.78456,0.0,iter06,/Users/kevinshan/Documents/gt_classes/research/sst/cscore_sstelem/experiments/replica_count/logs/run_replica001_load000_iter06_bw05p97.out
1,0,47.792699999999996,946.6740000000001,5.97,47.792699999999996,0.0,iter13,/Users/kevinshan/Documents/gt_classes/research/sst/cscore_sstelem/experiments/replica_count/logs/run_replica001_load000_iter13_bw05p97.out
1,0,47.85573,963.706375,5.98,47.85573,0.0,iter10,/Users/kevinshan/Documents/gt_classes/research/sst/cscore_sstelem/experiments/replica_count/logs/run_replica001_load000_iter10_bw05p98.out
1,0,47.88698,984.9488750000002,5.99,47.88698,0.0,iter14,/Users/kevinshan/Documents/gt_classes/research/sst/cscore_sstelem/experiments/replica_count/logs/run_replica001_load000_iter14_bw05p99.out
1,0,47.918260000000004,1010.6087500000001,5.99,47.918260000000004,0.0,iter12,/Users/kevinshan/Documents/gt_classes/research/sst/cscore_sstelem/experiments/replica_count/logs/run_replica001_load000_iter12_bw05p99.out
1,0,47.9596,1048.035,6.0,47.9596,0.0,iter08,/Users/kevinshan/Documents/gt_classes/research/sst/cscore_sstelem/experiments/replica_count/logs/run_replica001_load000_iter08_bw06p00.out
1,0,48.0851,1164.57375,6.01,48.0851,0.0,iter11,/Users/kevinshan/Documents/gt_classes/research/sst/cscore_sstelem/experiments/replica_count/logs/run_replica001_load000_iter11_bw06p01.out
1,0,48.10086,1185.1799999999998,6.01,48.10086,0.0,iter04,/Users/kevinshan/Documents/gt_classes/research/sst/cscore_sstelem/experiments/replica_count/logs/run_replica001_load000_iter04_bw06p01.out
1,0,48.49615,1893.52,6.06,48.49615,0.0,iter07,/Users/kevinshan/Documents/gt_classes/research/sst/cscore_sstelem/experiments/replica_count/logs/run_replica001_load000_iter07_bw06p06.out
1,0,48.86252,4317.751249999999,6.22,48.86252,0.0,iter03,/Users/kevinshan/Documents/gt_classes/research/sst/cscore_sstelem/experiments/replica_count/logs/run_replica001_load000_iter03_bw06p22.out
1,0,48.87082,4393.6275000000005,7.07,48.87082,0.0,right,/Users/kevinshan/Documents/gt_classes/research/sst/cscore_sstelem/experiments/replica_count/logs/run_replica001_load000_right_bw07p07.out
1,10,2.667892,807.0836249999999,0.3,2.401816,0.2660774,base,/Users/kevinshan/Documents/gt_classes/research/sst/cscore_sstelem/experiments/replica_count/logs/run_replica001_load010_base_bw00p30.out
1,10,27.2712,855.856375,3.07,24.57526,2.695933,left,/Users/kevinshan/Documents/gt_classes/research/sst/cscore_sstelem/experiments/replica_count/logs/run_replica001_load010_left_bw03p07.out
1,10,44.99076,881.5720000000001,5.07,40.55,4.440784,iter00,/Users/kevinshan/Documents/gt_classes/research/sst/cscore_sstelem/experiments/replica_count/logs/run_replica001_load010_iter00_bw05p07.out
1,10,49.4274,893.58575,5.57,44.54484,4.882556,iter01,/Users/kevinshan/Documents/gt_classes/research/sst/cscore_sstelem/experiments/replica_count/logs/run_replica001_load010_iter01_bw05p57.out
1,10,51.96989,964.387875,5.85,46.83606,5.1338170000000005,iter05,/Users/kevinshan/Documents/gt_classes/research/sst/cscore_sstelem/experiments/replica_count/logs/run_replica001_load010_iter05_bw05p85.out
1,10,52.7417,964.8948749999998,5.94,47.53897,5.202776,iter02,/Users/kevinshan/Documents/gt_classes/research/sst/cscore_sstelem/experiments/replica_count/logs/run_replica001_load010_iter02_bw05p94.out
1,10,52.76785,964.4170000000001,5.95,47.56249,5.20536,iter09,/Users/kevinshan/Documents/gt_classes/research/sst/cscore_sstelem/experiments/replica_count/logs/run_replica001_load010_iter09_bw05p95.out
1,10,52.852599999999995,962.9015000000002,5.95,47.638999999999996,5.2135560000000005,iter11,/Users/kevinshan/Documents/gt_classes/research/sst/cscore_sstelem/experiments/replica_count/logs/run_replica001_load010_iter11_bw05p95.out
1,10,53.01404,963.8131249999999,5.97,47.78148,5.232554,iter06,/Users/kevinshan/Documents/gt_classes/research/sst/cscore_sstelem/experiments/replica_count/logs/run_replica001_load010_iter06_bw05p97.out
1,10,53.03788,974.4114999999999,5.98,47.79925,5.238622,iter12,/Users/kevinshan/Documents/gt_classes/research/sst/cscore_sstelem/experiments/replica_count/logs/run_replica001_load010_iter12_bw05p98.out
1,10,53.08364,1003.6400000000001,5.98,47.83527,5.248378,iter14,/Users/kevinshan/Documents/gt_classes/research/sst/cscore_sstelem/experiments/replica_count/logs/run_replica001_load010_iter14_bw05p98.out
1,10,53.10682,1024.9675,5.98,47.86123,5.245577,iter10,/Users/kevinshan/Documents/gt_classes/research/sst/cscore_sstelem/experiments/replica_count/logs/run_replica001_load010_iter10_bw05p98.out
1,10,53.18732,1083.7675000000002,5.99,47.93425,5.253088,iter13,/Users/kevinshan/Documents/gt_classes/research/sst/cscore_sstelem/experiments/replica_count/logs/run_replica001_load010_iter13_bw05p99.out
1,10,53.22009,1121.00875,6.0,47.96362,5.2564589999999995,iter08,/Users/kevinshan/Documents/gt_classes/research/sst/cscore_sstelem/experiments/replica_count/logs/run_replica001_load010_iter08_bw06p00.out
1,10,53.37375,1251.71625,6.01,48.10301,5.270738,iter04,/Users/kevinshan/Documents/gt_classes/research/sst/cscore_sstelem/experiments/replica_count/logs/run_replica001_load010_iter04_bw06p01.out
1,10,53.80981,1891.5687500000001,6.06,48.49605,5.313738,iter07,/Users/kevinshan/Documents/gt_classes/research/sst/cscore_sstelem/experiments/replica_count/logs/run_replica001_load010_iter07_bw06p06.out
1,10,54.1866,4050.5,6.22,48.83599,5.350630000000001,iter03,/Users/kevinshan/Documents/gt_classes/research/sst/cscore_sstelem/experiments/replica_count/logs/run_replica001_load010_iter03_bw06p22.out
1,10,54.19467,4051.1674999999996,7.07,48.84211,5.352559,right,/Users/kevinshan/Documents/gt_classes/research/sst/cscore_sstelem/experiments/replica_count/logs/run_replica001_load010_right_bw07p07.out
1,20,2.97566,805.1773750000001,0.3,2.396528,0.5791317,base,/Users/kevinshan/Documents/gt_classes/research/sst/cscore_sstelem/experiments/replica_count/logs/run_replica001_load020_base_bw00p30.out
1,20,30.53469,857.691,3.07,24.57482,5.9598629999999995,left,/Users/kevinshan/Documents/gt_classes/research/sst/cscore_sstelem/experiments/replica_count/logs/run_replica001_load020_left_bw03p07.out
1,20,50.38705,896.664625,5.07,40.55133,9.83577,iter00,/Users/kevinshan/Documents/gt_classes/research/sst/cscore_sstelem/experiments/replica_count/logs/run_replica001_load020_iter00_bw05p07.out
1,20,55.34504,889.3464999999998,5.57,44.54531,10.79974,iter01,/Users/kevinshan/Documents/gt_classes/research/sst/cscore_sstelem/experiments/replica_count/logs/run_replica001_load020_iter01_bw05p57.out
1,20,58.19036,958.386875,5.85,46.83709,11.35328,iter05,/Users/kevinshan/Documents/gt_classes/research/sst/cscore_sstelem/experiments/replica_count/logs/run_replica001_load020_iter05_bw05p85.out
1,20,58.48778,989.2768749999999,5.88,47.07307,11.4147,iter07,/Users/kevinshan/Documents/gt_classes/research/sst/cscore_sstelem/experiments/replica_count/logs/run_replica001_load020_iter07_bw05p88.out
